100 100 
8 16 0 
# segments
sg 0 9 0 6 78.000000 5.000000 315.000000 77.000000 6.000000 315.000000 76.000000 7.000000 315.000000 75.000000 8.000000 315.000000 74.000000 9.000000 315.000000 73.000000 10.000000 315.000000 
sg 4 15 1 15 95.000000 29.000000 0.000000 94.000000 29.000000 0.000000 93.000000 29.000000 0.000000 92.000000 29.000000 0.000000 91.000000 29.000000 0.000000 90.000000 29.000000 0.000000 89.000000 29.000000 0.000000 88.000000 29.000000 0.000000 87.000000 29.000000 0.000000 86.000000 29.000000 0.000000 85.000000 29.000000 0.000000 84.000000 29.000000 0.000000 83.000000 29.000000 0.000000 82.000000 29.000000 0.000000 81.000000 29.000000 0.000000 
sg 5 13 1 16 54.000000 78.000000 90.000000 54.000000 77.000000 90.000000 54.000000 76.000000 90.000000 54.000000 75.000000 90.000000 54.000000 74.000000 90.000000 54.000000 73.000000 90.000000 54.000000 72.000000 90.000000 54.000000 71.000000 90.000000 54.000000 70.000000 90.000000 54.000000 69.000000 90.000000 54.000000 68.000000 90.000000 54.000000 67.000000 90.000000 54.000000 66.000000 90.000000 54.000000 65.000000 90.000000 54.000000 64.000000 90.000000 54.000000 63.000000 90.000000 
sg 6 8 1 8 13.000000 70.000000 135.000000 14.000000 69.000000 135.000000 15.000000 68.000000 135.000000 16.000000 67.000000 135.000000 17.000000 66.000000 135.000000 18.000000 65.000000 135.000000 19.000000 64.000000 135.000000 20.000000 63.000000 135.000000 
sg 7 12 1 10 94.000000 69.000000 45.000000 93.000000 68.000000 45.000000 92.000000 67.000000 45.000000 91.000000 66.000000 45.000000 90.000000 65.000000 45.000000 89.000000 64.000000 45.000000 88.000000 63.000000 45.000000 87.000000 62.000000 45.000000 86.000000 61.000000 45.000000 85.000000 60.000000 45.000000 
sg 10 1 1 4 34.000000 9.000000 45.000000 33.000000 8.000000 45.000000 32.000000 7.000000 45.000000 31.000000 6.000000 45.000000 
sg 11 2 1 6 54.000000 9.000000 90.000000 54.000000 8.000000 90.000000 54.000000 7.000000 90.000000 54.000000 6.000000 90.000000 54.000000 5.000000 90.000000 54.000000 4.000000 90.000000 
sg 14 3 1 11 16.000000 29.000000 0.000000 15.000000 29.000000 0.000000 14.000000 29.000000 0.000000 13.000000 29.000000 0.000000 12.000000 29.000000 0.000000 11.000000 29.000000 0.000000 10.000000 29.000000 0.000000 9.000000 29.000000 0.000000 8.000000 29.000000 0.000000 7.000000 29.000000 0.000000 6.000000 29.000000 0.000000 
# switches
sw 79.000000 4.000000 1 0 0 
sw 30.000000 5.000000 1 5 1 
sw 54.000000 3.000000 1 6 1 
sw 5.000000 29.000000 1 7 1 
sw 96.000000 29.000000 1 1 0 
sw 54.000000 79.000000 1 2 0 
sw 12.000000 71.000000 1 3 0 
sw 95.000000 70.000000 1 4 0 
sw 21.000000 62.000000 1 3 1 
sw 72.000000 11.000000 1 0 1 
sw 35.000000 10.000000 1 5 0 
sw 54.000000 10.000000 1 6 0 
sw 84.000000 59.000000 1 4 1 
sw 54.000000 62.000000 1 2 1 
sw 17.000000 29.000000 1 7 0 
sw 80.000000 29.000000 1 1 1 
# blocks

